fn,tcg,true,pred,top1,gap,ocr_ident,ocr_sku,final,pred_correct,final_correct
PXL_20260614_142509362.jpg,POKEMON,me2pt5-28,me2pt5-28,0.8988571166992188,0.03477609157562256,28,,me2pt5-28,True,True
PXL_20260614_142612080.jpg,POKEMON,me2pt5-102,me2pt5-102,0.9173705577850342,0.057621896266937256,102,,me2pt5-102,True,True
PXL_20260614_142635747.jpg,POKEMON,sv8-14,sv8-14,0.8868099451065063,0.09889775514602661,14,,sv8-14,True,True
PXL_20260614_142644963.jpg,POKEMON,me1-84,me1-84,0.8674862384796143,0.03237438201904297,me1-84,me1-84,me1-84,True,True
PXL_20260614_142654342.jpg,POKEMON,sv8-141,sv8-141,0.8965559005737305,0.07190680503845215,141,,sv8-141,True,True
PXL_20260614_142704322.jpg,POKEMON,sv3-141,sv3-141,0.8631391525268555,0.060240983963012695,sv3-141,sv3-141,sv3-141,True,True
PXL_20260614_142726129.jpg,POKEMON,rsv10pt5-68,rsv10pt5-68,0.8787177205085754,0.10518497228622437,rsv10pt5-68,rsv10pt5-68,rsv10pt5-68,True,True
PXL_20260614_142735982.jpg,POKEMON,sv3-85,sv3-85,0.9142886400222778,0.07884198427200317,85,,sv3-85,True,True
PXL_20260614_142808018.jpg,POKEMON,swsh11-39,swsh11-39,0.8502907752990723,0.02236342430114746,39,,swsh11-39,True,True
PXL_20260614_142816503.jpg,POKEMON,swsh11-106,swsh11-106,0.9041281938552856,0.07815408706665039,106,,swsh11-106,True,True
PXL_20260614_142824471.jpg,POKEMON,me1-92,me1-92,0.8987655639648438,0.07568520307540894,92,,me1-92,True,True
PXL_20260614_142835186.jpg,POKEMON,sv9-155,sv9-155,0.8609107732772827,0.12329256534576416,sv9-155,sv9-155,sv9-155,True,True
PXL_20260614_142843227.jpg,POKEMON,sv10-9,sv10-9,0.9151891469955444,0.08348411321640015,sv10-9,sv10-9,sv10-9,True,True
PXL_20260614_142852519.jpg,POKEMON,sv10-138,sv10-138,0.8921087980270386,0.08722686767578125,138,,sv10-138,True,True
PXL_20260614_142902019.jpg,POKEMON,zsv10pt5-64,zsv10pt5-64,0.8290797472000122,0.02105313539505005,zsv10pt5-64,zsv10pt5-64,zsv10pt5-64,True,True
PXL_20260614_142922019.jpg,POKEMON,swsh8-67,swsh8-67,0.9344388842582703,0.10375219583511353,67,,swsh8-67,True,True
PXL_20260614_142955866.jpg,POKEMON,sv5-118,sv5-118,0.8444639444351196,0.07988572120666504,118,,sv5-118,True,True
PXL_20260614_145940712.jpg,MTG,mtg-snc-36,mtg-snc-36,0.9440934062004089,0.10602718591690063,one-36,mtg-one-36,mtg-one-36,True,False
PXL_20260614_145949132.jpg,MTG,mtg-snc-253,mtg-snc-253,0.9275243282318115,0.12865352630615234,snc-253,mtg-snc-253,mtg-snc-253,True,True
PXL_20260614_150023502.jpg,POKEMON,sv8pt5-16,sv8pt5-16,0.9306067228317261,0.05717289447784424,sv8pt5-16,sv8pt5-16,sv8pt5-16,True,True
PXL_20260614_150029944.jpg,POKEMON,sv6-161,sv6-161,0.8416928648948669,0.15125906467437744,161,,sv6-161,True,True
PXL_20260614_150036169.jpg,POKEMON,sv3pt5-86,sv3pt5-86,0.9191023111343384,0.12363207340240479,86,,sv3pt5-86,True,True
PXL_20260614_150042218.jpg,POKEMON,sv3pt5-74,sv3pt5-74,0.8995822668075562,0.09560644626617432,74,,sv3pt5-74,True,True
PXL_20260614_150049650.jpg,POKEMON,sv3pt5-58,sv3pt5-58,0.9219456315040588,0.05956697463989258,58,,sv3pt5-58,True,True
PXL_20260614_150058376.jpg,POKEMON,sv8pt5-77,sv8pt5-77,0.9043214917182922,0.1158483624458313,77,,sv8pt5-77,True,True
PXL_20260614_150103783.jpg,POKEMON,me2pt5-169,me2pt5-169,0.892055094242096,0.07041984796524048,me2pt5-169,me2pt5-169,me2pt5-169,True,True
PXL_20260614_150112135.jpg,POKEMON,me2pt5-54,me2pt5-54,0.8951436877250671,0.06775772571563721,54,,me2pt5-54,True,True
PXL_20260614_150120399.jpg,POKEMON,sv8pt5-117,me2pt5-117,0.904433012008667,0.05135613679885864,117,,me2pt5-117,False,False
PXL_20260614_150132945.jpg,POKEMON,me2pt5-166,me2pt5-166,0.9196072816848755,0.09257769584655762,me2pt5-166,me2pt5-166,me2pt5-166,True,True
PXL_20260614_150145533.jpg,POKEMON,me1-18,me1-18,0.8881669044494629,0.08906781673431396,me1-18,me1-18,me1-18,True,True
PXL_20260614_150155416.jpg,POKEMON,me1-110,me1-110,0.9192140698432922,0.0902438759803772,me1-110,me1-110,me1-110,True,True
PXL_20260614_150204085.jpg,POKEMON,me1-62,me1-62,0.9133039712905884,0.10296708345413208,me1-62,me1-62,me1-62,True,True
PXL_20260614_150214067.jpg,POKEMON,me1-12,me1-12,0.9083024859428406,0.07299613952636719,me1-12,me1-12,me1-12,True,True
PXL_20260614_150220817.jpg,POKEMON,me1-49,me1-49,0.9270385503768921,0.05681586265563965,me1-49,me1-49,me1-49,True,True
PXL_20260614_150229795.jpg,POKEMON,me1-11,me1-11,0.9141122698783875,0.08642774820327759,me1-11,me1-11,me1-11,True,True
PXL_20260614_150236176.jpg,POKEMON,rsv10pt5-69,rsv10pt5-69,0.9418681263923645,0.12177884578704834,69,,rsv10pt5-69,True,True
PXL_20260614_150244788.jpg,POKEMON,sv3-17,sv3-17,0.913709282875061,0.08010953664779663,sv3-17,sv3-17,sv3-17,True,True
PXL_20260614_150251334.jpg,POKEMON,sv3-76,sv3-76,0.9038634300231934,0.08845996856689453,sv3-76,sv3-76,sv3-76,True,True
PXL_20260614_150259142.jpg,POKEMON,swsh12-130,swsh12-130,0.9343078136444092,0.061839401721954346,130,,swsh12-130,True,True
PXL_20260614_150306972.jpg,POKEMON,swsh12-141,swsh12-141,0.9396352767944336,0.0799717903137207,141,,swsh12-141,True,True
PXL_20260614_150313714.jpg,POKEMON,sv1-6,sv1-6,0.9182431101799011,0.07318371534347534,sv1-6,sv1-6,sv1-6,True,True
PXL_20260614_150330244.jpg,POKEMON,sv8-168,sv8-168,0.8695824146270752,0.10269856452941895,168,,sv8-168,True,True
PXL_20260614_150341969.jpg,POKEMON,sv3pt5-39,sv3pt5-39,0.9373909831047058,0.07798391580581665,39,,sv3pt5-39,True,True
PXL_20260614_150350811.jpg,POKEMON,sv8pt5-68,sv8pt5-68,0.9111759662628174,0.07192504405975342,sv8pt5-68,sv8pt5-68,sv8pt5-68,True,True
PXL_20260614_150401176.jpg,POKEMON,me2pt5-49,me2pt5-49,0.9134467840194702,0.08078473806381226,me2pt5-49,me2pt5-49,me2pt5-49,True,True
PXL_20260614_150408378.jpg,POKEMON,me2pt5-52,me2pt5-52,0.8968608379364014,0.07215166091918945,me2pt5-52,me2pt5-52,me2pt5-52,True,True
PXL_20260614_151505558.jpg,MTG,mtg-snc-269,mtg-snc-269,0.9345694780349731,0.035082459449768066,snc-269,mtg-snc-269,mtg-snc-269,True,True
PXL_20260614_151512899.jpg,MTG,mtg-snc-122,mtg-snc-122,0.9009445905685425,0.07190781831741333,well-122,,mtg-snc-122,True,True
PXL_20260614_151532589.jpg,MTG,mtg-snc-132,mtg-snc-132,0.8452029824256897,0.03692126274108887,,,mtg-snc-132,True,True
PXL_20260614_151541285.jpg,POKEMON,swsh11-75,swsh11-75,0.9178426265716553,0.04849541187286377,75,,swsh11-75,True,True
PXL_20260614_151551049.jpg,POKEMON,sv8pt5-112,me1-112,0.9175968170166016,0.131725013256073,112,,me1-112,False,False
PXL_20260614_151557195.jpg,POKEMON,swsh11-4,swsh11-4,0.92331463098526,0.047389328479766846,4,,swsh11-4,True,True
PXL_20260614_151605356.jpg,POKEMON,swsh11-44,swsh11-44,0.9098619222640991,0.08574914932250977,44,,swsh11-44,True,True
PXL_20260614_151612027.jpg,POKEMON,me1-24,me1-24,0.9267796277999878,0.06360763311386108,me1-24,me1-24,me1-24,True,True
PXL_20260614_151618378.jpg,POKEMON,swsh11-2,swsh11-2,0.9038490056991577,0.053833961486816406,2,,swsh11-2,True,True
PXL_20260614_151624928.jpg,POKEMON,swsh11-68,swsh11-68,0.9389641880989075,0.06304687261581421,68,,swsh11-68,True,True
PXL_20260614_151648762.jpg,POKEMON,rsv10pt5-22,rsv10pt5-22,0.8985762000083923,0.07371896505355835,22,,rsv10pt5-22,True,True
PXL_20260614_151658774.jpg,POKEMON,swsh12-31,swsh12-31,0.9333570003509521,0.07320177555084229,31,,swsh12-31,True,True
PXL_20260614_151716709.jpg,POKEMON,sv1-22,sv1-22,0.9198372960090637,0.10046124458312988,22,,sv1-22,True,True
PXL_20260614_151723180.jpg,POKEMON,sv1-12,sv1-12,0.9166290760040283,0.08136862516403198,12,,sv1-12,True,True
PXL_20260614_151731390.jpg,POKEMON,sv4pt5-86,sv4pt5-86,0.8306773900985718,0.04978001117706299,86,,sv4pt5-86,True,True
PXL_20260614_151759942.jpg,POKEMON,sv3pt5-98,sv3pt5-98,0.9479689002037048,0.09605330228805542,98,,sv3pt5-98,True,True
